Starting rotation with parameters:
num_neurons:    100
lr:             0.001
n_splits:       10
patience:       2
batch_size:     50
0	97.41	0.76	|	100	0.001	10	2	50
Starting rotation with parameters:
num_neurons:    5 7 35 70 100
lr:             0.001 0.005 0.01 0.05 0.1
n_splits:       2 5 10
patience:       2 8 16
batch_size:     10 20 50 100
0	97.10	0.78	|	7	0.01	10	2	10
0	95.87	1.45	|	5	0.001	10	2	20
0	97.41	1.02	|	7	0.005	10	2	20
0	95.75	0.92	|	7	0.001	2	2	100
0	98.03	0.86	|	70	0.01	10	2	50
0	97.78	0.96	|	35	0.005	5	8	100
0	95.93	0.49	|	70	0.1	2	2	20
0	96.49	1.54	|	7	0.001	2	8	10
0	96.98	0.36	|	70	0.1	5	8	20
0	91.88	5.20	|	5	0.001	10	2	100
0	96.92	0.86	|	70	0.05	2	8	10
0	96.36	1.14	|	7	0.005	5	2	100
0	96.98	1.01	|	7	0.005	10	8	50
0	96.43	1.19	|	35	0.1	10	16	20
0	95.93	0.81	|	5	0.05	5	8	50
0	97.23	0.92	|	100	0.05	2	8	100
0	98.52	0.68	|	35	0.005	10	8	10
0	97.35	1.63	|	70	0.05	5	16	100
0	97.35	1.00	|	7	0.01	5	8	50
0	95.68	0.49	|	100	0.1	2	8	10
0	98.52	0.92	|	70	0.01	10	8	10
0	97.47	0.92	|	35	0.005	2	2	10
0	96.92	1.16	|	70	0.001	10	2	100
0	96.92	1.33	|	7	0.005	5	2	20
0	94.51	1.41	|	7	0.05	2	8	10
0	95.62	0.18	|	70	0.1	2	2	10
0	96.12	0.07	|	7	0.05	2	16	50
0	98.15	0.78	|	35	0.001	10	8	10
0	96.86	1.12	|	35	0.1	5	2	100
0	93.40	0.93	|	5	0.001	2	16	50
0	96.37	1.71	|	5	0.01	5	8	100
0	95.81	0.76	|	5	0.05	5	8	20
0	97.41	1.02	|	70	0.05	5	16	100
0	95.87	0.67	|	5	0.01	2	8	100
0	98.15	0.62	|	35	0.005	10	8	20
0	92.48	1.96	|	5	0.05	2	8	10
0	83.61	4.54	|	5	0.1	2	2	20
0	97.72	0.99	|	70	0.001	10	8	100
0	98.40	0.83	|	70	0.01	10	16	10
0	95.99	1.17	|	7	0.01	2	2	50
0	95.38	1.04	|	7	0.05	2	16	50
0	97.17	0.98	|	70	0.05	2	8	20
0	98.03	0.77	|	35	0.005	10	2	10
0	97.47	0.96	|	70	0.05	5	2	100
0	97.04	0.98	|	70	0.005	2	2	100
0	98.09	0.45	|	70	0.01	5	16	10
0	97.90	0.68	|	70	0.005	5	16	100
0	94.39	1.43	|	7	0.1	5	2	100
0	97.72	0.69	|	35	0.005	5	8	100
0	96.61	1.67	|	5	0.001	10	16	20
0	97.16	0.61	|	35	0.005	2	8	100
0	96.49	0.56	|	5	0.01	2	16	10
